,index,ts_code,symbol,name,area,industry,market,list_date
871,871,002423.SZ,002423,中粮资本,河南,多元金融,中小板,20100603
872,872,002424.SZ,002424,贵州百灵,贵州,中成药,中小板,20100603
873,873,002425.SZ,002425,凯撒文化,广东,互联网,中小板,20100608
874,874,002426.SZ,002426,*ST胜利,江苏,元器件,中小板,20100608
875,875,002427.SZ,002427,ST尤夫,浙江,化纤,中小板,20100608
876,876,002428.SZ,002428,云南锗业,云南,小金属,中小板,20100608
877,877,002429.SZ,002429,兆驰股份,深圳,家用电器,中小板,20100610
878,878,002430.SZ,002430,杭氧股份,浙江,化工机械,中小板,20100610
879,879,002431.SZ,002431,棕榈股份,广东,建筑工程,中小板,20100610
880,880,002432.SZ,002432,九安医疗,天津,医疗保健,中小板,20100610
881,881,002433.SZ,002433,太安堂,广东,中成药,中小板,20100618
882,882,002434.SZ,002434,万里扬,浙江,汽车配件,中小板,20100618
883,883,002435.SZ,002435,长江健康,江苏,化学制药,中小板,20100618
884,884,002436.SZ,002436,兴森科技,深圳,元器件,中小板,20100618
885,885,002437.SZ,002437,誉衡药业,黑龙江,化学制药,中小板,20100623
886,886,002438.SZ,002438,江苏神通,江苏,机械基件,中小板,20100623
887,887,002439.SZ,002439,启明星辰,北京,软件服务,中小板,20100623
888,888,002440.SZ,002440,闰土股份,浙江,染料涂料,中小板,20100706
889,889,002441.SZ,002441,众业达,广东,批发业,中小板,20100706
890,890,002442.SZ,002442,龙星化工,河北,化工原料,中小板,20100706
891,891,002443.SZ,002443,金洲管道,浙江,钢加工,中小板,20100706
892,892,002444.SZ,002444,巨星科技,浙江,轻工机械,中小板,20100713
893,893,002445.SZ,002445,*ST中南,江苏,影视音像,中小板,20100713
894,894,002446.SZ,002446,盛路通信,广东,通信设备,中小板,20100713
895,895,002447.SZ,002447,*ST晨鑫,辽宁,互联网,中小板,20100713
896,896,002448.SZ,002448,中原内配,河南,汽车配件,中小板,20100716
897,897,002449.SZ,002449,国星光电,广东,半导体,中小板,20100716
898,898,002451.SZ,002451,摩恩电气,上海,电气设备,中小板,20100720
899,899,002452.SZ,002452,长高集团,湖南,电气设备,中小板,20100720
900,900,002453.SZ,002453,华软科技,江苏,软件服务,中小板,20100720
901,901,002454.SZ,002454,松芝股份,上海,汽车配件,中小板,20100720
902,902,002455.SZ,002455,百川股份,江苏,化工原料,中小板,20100803
903,903,002456.SZ,002456,欧菲光,深圳,元器件,中小板,20100803
904,904,002457.SZ,002457,青龙管业,宁夏,塑料,中小板,20100803
905,905,002458.SZ,002458,益生股份,山东,农业综合,中小板,20100810
906,906,002459.SZ,002459,晶澳科技,河北,电气设备,中小板,20100810
907,907,002460.SZ,002460,赣锋锂业,江西,小金属,中小板,20100810
908,908,002461.SZ,002461,珠江啤酒,广东,啤酒,中小板,20100818
909,909,002462.SZ,002462,嘉事堂,北京,医药商业,中小板,20100818
910,910,002463.SZ,002463,沪电股份,江苏,元器件,中小板,20100818
911,911,002464.SZ,002464,众应互联,江苏,互联网,中小板,20100831
912,912,002465.SZ,002465,海格通信,广东,通信设备,中小板,20100831
913,913,002466.SZ,002466,天齐锂业,四川,小金属,中小板,20100831
914,914,002467.SZ,002467,二六三,北京,电信运营,中小板,20100908
915,915,002468.SZ,002468,申通快递,浙江,仓储物流,中小板,20100908
916,916,002469.SZ,002469,三维工程,山东,建筑工程,中小板,20100908
917,917,002470.SZ,002470,*ST金正,山东,农药化肥,中小板,20100908
918,918,002471.SZ,002471,中超控股,江苏,电气设备,中小板,20100910
919,919,002472.SZ,002472,双环传动,浙江,机械基件,中小板,20100910
920,920,002473.SZ,002473,ST圣莱,浙江,家用电器,中小板,20100910
921,921,002474.SZ,002474,榕基软件,福建,软件服务,中小板,20100915
922,922,002475.SZ,002475,立讯精密,深圳,元器件,中小板,20100915
923,923,002476.SZ,002476,宝莫股份,山东,化工原料,中小板,20100915
924,924,002478.SZ,002478,常宝股份,江苏,钢加工,中小板,20100921
925,925,002479.SZ,002479,富春环保,浙江,火力发电,中小板,20100921
926,926,002480.SZ,002480,新筑股份,四川,机械基件,中小板,20100921
927,927,002481.SZ,002481,双塔食品,山东,食品,中小板,20100921
928,928,002482.SZ,002482,广田集团,深圳,装修装饰,中小板,20100929
929,929,002483.SZ,002483,润邦股份,江苏,工程机械,中小板,20100929
930,930,002484.SZ,002484,江海股份,江苏,元器件,中小板,20100929
931,931,002485.SZ,002485,希努尔,山东,服饰,中小板,20101015
932,932,002486.SZ,002486,嘉麟杰,上海,服饰,中小板,20101015
933,933,002487.SZ,002487,大金重工,辽宁,钢加工,中小板,20101015
934,934,002488.SZ,002488,金固股份,浙江,汽车配件,中小板,20101021
935,935,002489.SZ,002489,浙江永强,浙江,家居用品,中小板,20101021
936,936,002490.SZ,002490,山东墨龙,山东,化工机械,中小板,20101021
937,937,002491.SZ,002491,通鼎互联,江苏,通信设备,中小板,20101021
938,938,002492.SZ,002492,恒基达鑫,广东,仓储物流,中小板,20101102
939,939,002493.SZ,002493,荣盛石化,浙江,化纤,中小板,20101102
940,940,002494.SZ,002494,华斯股份,河北,服饰,中小板,20101102
941,941,002495.SZ,002495,佳隆股份,广东,食品,中小板,20101102
942,942,002496.SZ,002496,*ST辉丰,江苏,农药化肥,中小板,20101109
943,943,002497.SZ,002497,雅化集团,四川,化工原料,中小板,20101109
944,944,002498.SZ,002498,汉缆股份,山东,电气设备,中小板,20101109
945,945,002499.SZ,002499,*ST科林,江苏,环境保护,中小板,20101109
946,946,002500.SZ,002500,山西证券,山西,证券,中小板,20101115
947,947,002501.SZ,002501,*ST利源,吉林,铝,中小板,20101117
948,948,002502.SZ,002502,*ST鼎龙,广东,影视音像,中小板,20101117
949,949,002503.SZ,002503,搜于特,广东,服饰,中小板,20101117
950,950,002504.SZ,002504,弘高创意,北京,装修装饰,中小板,20101118
951,951,002505.SZ,002505,鹏都农牧,湖南,农业综合,中小板,20101118
952,952,002506.SZ,002506,协鑫集成,上海,电气设备,中小板,20101118
953,953,002507.SZ,002507,涪陵榨菜,重庆,食品,中小板,20101123
954,954,002508.SZ,002508,老板电器,浙江,家用电器,中小板,20101123
955,955,002510.SZ,002510,天汽模,天津,汽车配件,中小板,20101125
956,956,002511.SZ,002511,中顺洁柔,广东,造纸,中小板,20101125
957,957,002512.SZ,002512,达华智能,福建,元器件,中小板,20101203
958,958,002513.SZ,002513,*ST蓝丰,江苏,农药化肥,中小板,20101203
959,959,002514.SZ,002514,宝馨科技,江苏,机械基件,中小板,20101203
960,960,002515.SZ,002515,金字火腿,浙江,食品,中小板,20101203
961,961,002516.SZ,002516,旷达科技,江苏,纺织,中小板,20101207
962,962,002517.SZ,002517,恺英网络,福建,互联网,中小板,20101207
963,963,002518.SZ,002518,科士达,深圳,电气设备,中小板,20101207
964,964,002519.SZ,002519,银河电子,江苏,通信设备,中小板,20101207
965,965,002520.SZ,002520,日发精机,浙江,机床制造,中小板,20101210
966,966,002521.SZ,002521,齐峰新材,山东,造纸,中小板,20101210
967,967,002522.SZ,002522,浙江众成,浙江,塑料,中小板,20101210
968,968,002523.SZ,002523,天桥起重,湖南,工程机械,中小板,20101210
969,969,002524.SZ,002524,光正眼科,新疆,医疗保健,中小板,20101217
970,970,002526.SZ,002526,山东矿机,山东,工程机械,中小板,20101217
971,971,002527.SZ,002527,新时达,上海,电器仪表,中小板,20101224
972,972,002528.SZ,002528,英飞拓,深圳,IT设备,中小板,20101224
973,973,002529.SZ,002529,*ST海源,福建,专用机械,中小板,20101224
974,974,002530.SZ,002530,金财互联,江苏,软件服务,中小板,20101231
975,975,002531.SZ,002531,天顺风能,江苏,电气设备,中小板,20101231
976,976,002532.SZ,002532,天山铝业,浙江,铝,中小板,20101231
977,977,002533.SZ,002533,金杯电工,湖南,电气设备,中小板,20101231
978,978,002534.SZ,002534,杭锅股份,浙江,专用机械,中小板,20110110
979,979,002535.SZ,002535,*ST林重,河南,工程机械,中小板,20110111
980,980,002536.SZ,002536,飞龙股份,河南,汽车配件,中小板,20110111
981,981,002537.SZ,002537,海联金汇,山东,汽车整车,中小板,20110110
982,982,002538.SZ,002538,司尔特,安徽,农药化肥,中小板,20110118
983,983,002539.SZ,002539,云图控股,四川,农药化肥,中小板,20110118
984,984,002540.SZ,002540,亚太科技,江苏,铝,中小板,20110118
985,985,002541.SZ,002541,鸿路钢构,安徽,钢加工,中小板,20110118
986,986,002542.SZ,002542,中化岩土,北京,建筑工程,中小板,20110128
987,987,002543.SZ,002543,万和电气,广东,家用电器,中小板,20110128
988,988,002544.SZ,002544,杰赛科技,广东,软件服务,中小板,20110128
